experiment,condition,sample,seed,n,k,r,rx,rz,measurement,probe,result,timed_out,timeout_seconds,build_seconds,solve_seconds,decisions,conflicts,propagations,rlimit_count,assertions,row_operation_variables
rank_sweep,css,7,539713499,18,4,14,1,13,base,,sat,False,300.0,0.066240750,3.644321250,270305,211762,25299903,14952014130,612,170
rank_sweep,css,8,669906934,18,4,14,1,13,base,,sat,False,300.0,0.064182916,4.498829000,286828,243554,33648776,14990354660,612,170
rank_sweep,css,9,1547424671,18,4,14,1,13,base,,sat,False,300.0,0.076303791,3.389335334,244157,197053,23838372,15018410385,612,170
rank_sweep,css,0,1719294575,18,4,14,2,12,base,,sat,False,300.0,0.064477750,0.206006708,19437,13359,1331423,15020337330,612,148
rank_sweep,css,1,1483584061,18,4,14,2,12,base,,sat,False,300.0,0.063619417,0.841138417,55675,49072,7843817,15029118683,612,148
rank_sweep,css,2,1296662568,18,4,14,2,12,base,,sat,False,300.0,0.063144500,0.246350875,26464,20961,1937386,15031651251,612,148
rank_sweep,css,3,626617145,18,4,14,2,12,base,,sat,False,300.0,0.063328083,0.741311167,56899,45738,5025825,15037687451,612,148
rank_sweep,css,4,1979148798,18,4,14,2,12,base,,sat,False,300.0,0.064699792,0.080914875,8350,6051,561039,15038614179,612,148
rank_sweep,css,5,1721719169,18,4,14,2,12,base,,sat,False,300.0,0.064304583,0.032363459,4970,2714,194051,15039131468,612,148
rank_sweep,css,6,176961033,18,4,14,2,12,base,,sat,False,300.0,0.061619291,0.037067583,4072,2021,198499,15039643813,612,148
rank_sweep,css,7,1254594651,18,4,14,2,12,base,,sat,False,300.0,0.062304375,0.114148833,12227,7574,796122,15040894461,612,148
rank_sweep,css,8,1979150906,18,4,14,2,12,base,,sat,False,300.0,0.063461542,0.110408250,12281,8779,856464,15042171322,612,148
rank_sweep,css,9,1624900173,18,4,14,2,12,base,,sat,False,300.0,0.065270167,0.170113792,15731,11999,1335668,15044019050,612,148
rank_sweep,css,0,1259674197,18,4,14,7,7,base,,sat,False,300.0,0.062054709,0.012107000,507,174,13246,15044287424,612,98
rank_sweep,css,1,120462351,18,4,14,7,7,base,,sat,False,300.0,0.059943042,0.029979125,3803,1717,130785,15045018596,612,98
rank_sweep,css,2,1392771177,18,4,14,7,7,base,,sat,False,300.0,0.061862792,0.010851292,499,104,8781,15045581914,612,98
rank_sweep,css,3,1967172732,18,4,14,7,7,base,,sat,False,300.0,0.060769958,0.015533042,999,403,30578,15045958484,612,98
rank_sweep,css,4,2118226355,18,4,14,7,7,base,,sat,False,300.0,0.059561416,0.025973791,3595,1538,102928,15046623621,612,98
