experiment,condition,sample,seed,n,k,r,rx,rz,measurement,probe,source,target,witness_target,result,timed_out,timeout_seconds,build_seconds,solve_seconds,decisions,conflicts,propagations,rlimit_count,assertions,row_operation_variables
permutation_survival,B2,4,2144028437,16,2,14,7,7,invalid_mapping,0,0,6,1,unsat,False,300.0,0.228509125,0.003743958,0,0,0,15786051,737,98
permutation_survival,B2,4,2144028437,16,2,14,7,7,invalid_mapping,1,8,4,0,unsat,False,300.0,0.228355542,0.002808125,0,0,0,15808781,737,98
permutation_survival,B2,4,2144028437,16,2,14,7,7,invalid_mapping,2,15,13,8,unsat,False,300.0,0.228281125,0.002747083,0,0,0,15830187,737,98
permutation_survival,C,4,2144028437,16,2,14,7,7,base,,,,,sat,False,300.0,0.121848458,0.018931833,294,98,6967,15965332,512,98
permutation_survival,C,4,2144028437,16,2,14,7,7,invalid_mapping,0,0,6,1,unsat,False,300.0,0.123893917,0.017630209,255,89,5591,16089689,513,98
permutation_survival,C,4,2144028437,16,2,14,7,7,invalid_mapping,1,8,4,0,unsat,False,300.0,0.123044542,0.003205875,0,0,0,16114130,513,98
permutation_survival,C,4,2144028437,16,2,14,7,7,invalid_mapping,2,15,13,8,unsat,False,300.0,0.126071958,0.026984209,588,257,14064,16252775,513,98
permutation_survival,A,5,850511982,16,2,14,7,7,base,,,,,sat,False,300.0,0.405100000,0.113869958,4412,2435,303526,16888411,736,196
permutation_survival,A,5,850511982,16,2,14,7,7,invalid_mapping,0,5,13,12,unsat,False,300.0,0.251286834,0.086809334,2917,1602,208272,17417999,737,196
permutation_survival,A,5,850511982,16,2,14,7,7,invalid_mapping,1,0,2,4,unsat,False,300.0,0.251861791,0.064943083,1873,849,125359,17843572,737,196
permutation_survival,A,5,850511982,16,2,14,7,7,invalid_mapping,2,14,4,0,unsat,False,300.0,0.252482958,0.035715416,299,111,6076,18099292,737,196
permutation_survival,B1,5,850511982,16,2,14,7,7,base,,,,,sat,False,300.0,0.244782708,0.099808667,4062,2032,236925,18655267,736,196
permutation_survival,B1,5,850511982,16,2,14,7,7,invalid_mapping,0,5,13,12,unsat,False,300.0,0.263989167,0.070093166,2464,1159,127227,19075540,737,196
permutation_survival,B1,5,850511982,16,2,14,7,7,invalid_mapping,1,0,2,4,unsat,False,300.0,0.245678125,0.142729958,5716,3151,409863,19856984,737,196
permutation_survival,B1,5,850511982,16,2,14,7,7,invalid_mapping,2,14,4,0,unsat,False,300.0,0.283255542,0.078629750,2667,1474,174561,20336577,737,196
permutation_survival,B2,5,850511982,16,2,14,7,7,base,,,,,sat,False,300.0,0.221496125,0.022079167,7,2,946,20495529,736,98
permutation_survival,B2,5,850511982,16,2,14,7,7,invalid_mapping,0,5,13,12,unsat,False,300.0,0.222034875,0.004660000,0,0,0,20528721,737,98
permutation_survival,B2,5,850511982,16,2,14,7,7,invalid_mapping,1,0,2,4,unsat,False,300.0,0.219447583,0.020931375,1,2,244,20680379,737,98
