problem,invariant,instance_id,seed,n,k,r,positive,accepted,runtime_seconds,status,timeout,memory_limited,error
pm_stb,signatures,pm_stb-n4k3-s438-negative,438,4,3,1,False,False,0.0012256139889359474,success,False,False,
pm_stb,linear_dependency,pm_stb-n4k3-s433-negative,433,4,3,1,False,False,0.0010008210083469748,success,False,False,
pm_stb,signatures,pm_stb-n4k3-s433-negative,433,4,3,1,False,False,0.0012026840122416615,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k0-s89-positive,89,5,0,5,True,True,0.0036411030450835824,success,False,False,
pm_stb,signatures,pm_stb-n5k0-s89-positive,89,5,0,5,True,True,0.0019001320470124483,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k0-s773-positive,773,5,0,5,True,True,0.0031358569394797087,success,False,False,
pm_stb,signatures,pm_stb-n5k0-s773-positive,773,5,0,5,True,True,0.0021779860835522413,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k0-s654-positive,654,5,0,5,True,True,0.0029059749795123935,success,False,False,
pm_stb,signatures,pm_stb-n5k0-s654-positive,654,5,0,5,True,True,0.0020894650369882584,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k0-s438-positive,438,5,0,5,True,True,0.003437330015003681,success,False,False,
pm_stb,signatures,pm_stb-n5k0-s438-positive,438,5,0,5,True,True,0.0020088740857318044,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k0-s433-positive,433,5,0,5,True,True,0.0033129480434581637,success,False,False,
pm_stb,signatures,pm_stb-n5k0-s433-positive,433,5,0,5,True,True,0.001997212995775044,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k0-s89-negative,89,5,0,5,False,True,0.003024265985004604,success,False,False,
pm_stb,signatures,pm_stb-n5k0-s89-negative,89,5,0,5,False,True,0.002292776945978403,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k0-s773-negative,773,5,0,5,False,True,0.0036495430395007133,success,False,False,
pm_stb,signatures,pm_stb-n5k0-s773-negative,773,5,0,5,False,True,0.0021421649726107717,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k0-s654-negative,654,5,0,5,False,True,0.0032184880692511797,success,False,False,
pm_stb,signatures,pm_stb-n5k0-s654-negative,654,5,0,5,False,True,0.0019449929241091013,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k0-s438-negative,438,5,0,5,False,True,0.003192867967300117,success,False,False,
pm_stb,signatures,pm_stb-n5k0-s438-negative,438,5,0,5,False,True,0.001990332966670394,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k0-s433-negative,433,5,0,5,False,True,0.0030820058891549706,success,False,False,
pm_stb,signatures,pm_stb-n5k0-s433-negative,433,5,0,5,False,True,0.0020555140217766166,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k1-s89-positive,89,5,1,4,True,True,0.0027702830266207457,success,False,False,
pm_stb,signatures,pm_stb-n5k1-s89-positive,89,5,1,4,True,True,0.0017165610333904624,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k1-s773-positive,773,5,1,4,True,True,0.002827653894200921,success,False,False,
pm_stb,signatures,pm_stb-n5k1-s773-positive,773,5,1,4,True,True,0.002022893982939422,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k1-s654-positive,654,5,1,4,True,True,0.002588530071079731,success,False,False,
pm_stb,signatures,pm_stb-n5k1-s654-positive,654,5,1,4,True,True,0.0021424450678750873,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k1-s438-positive,438,5,1,4,True,True,0.0032685190672054887,success,False,False,
pm_stb,signatures,pm_stb-n5k1-s438-positive,438,5,1,4,True,True,0.0019136529881507158,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k1-s433-positive,433,5,1,4,True,True,0.0028753430815413594,success,False,False,
pm_stb,signatures,pm_stb-n5k1-s433-positive,433,5,1,4,True,True,0.001809602021239698,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k1-s89-negative,89,5,1,4,False,True,0.0029611450154334307,success,False,False,
pm_stb,signatures,pm_stb-n5k1-s89-negative,89,5,1,4,False,True,0.0018642519135028124,success,False,False,
