problem,seed,n,k,r,x_rank,class_sizes,q_pairs,status,timeout,memory_limited,error
pm_css,773,8,2,6,5,4 2 2,0.375,success,False,False,
pm_css,654,8,2,6,2,3 3 1 1,0.3125,success,False,False,
pm_css,438,8,2,6,6,4 3 1,0.40625,success,False,False,
pm_css,433,8,2,6,1,6 2,0.625,success,False,False,
pm_css,858,8,2,6,1,5 2 1,0.46875,success,False,False,
pm_css,85,8,2,6,4,4 2 2,0.375,success,False,False,
pm_css,697,8,2,6,5,6 2,0.625,success,False,False,
pm_css,201,8,2,6,2,4 2 2,0.375,success,False,False,
pm_css,94,8,2,6,0,8,1.0,success,False,False,
pm_css,89,8,4,4,4,4 4,0.5,success,False,False,
pm_css,773,8,4,4,4,6 2,0.625,success,False,False,
pm_css,654,8,4,4,1,6 2,0.625,success,False,False,
pm_css,438,8,4,4,4,4 3 1,0.40625,success,False,False,
pm_css,433,8,4,4,1,5 2 1,0.46875,success,False,False,
pm_css,858,8,4,4,0,4 4,0.5,success,False,False,
pm_css,85,8,4,4,3,2 2 2 2,0.25,success,False,False,
pm_css,697,8,4,4,3,6 2,0.625,success,False,False,
pm_css,201,8,4,4,1,6 1 1,0.59375,success,False,False,
pm_css,94,8,4,4,0,5 2 1,0.46875,success,False,False,
pm_css,89,8,6,2,2,4 2 2,0.375,success,False,False,
pm_css,773,8,6,2,2,4 4,0.5,success,False,False,
pm_css,654,8,6,2,0,6 2,0.625,success,False,False,
pm_css,438,8,6,2,2,4 4,0.5,success,False,False,
pm_css,433,8,6,2,0,6 2,0.625,success,False,False,
pm_css,858,8,6,2,0,6 2,0.625,success,False,False,
pm_css,85,8,6,2,2,6 2,0.625,success,False,False,
pm_css,697,8,6,2,2,4 4,0.5,success,False,False,
pm_css,201,8,6,2,0,4 4,0.5,success,False,False,
pm_css,94,8,6,2,0,4 4,0.5,success,False,False,
pm_css,89,9,0,9,8,5 4,0.5061728395061729,success,False,False,
pm_css,773,9,0,9,8,5 4,0.5061728395061729,success,False,False,
pm_css,654,9,0,9,3,4 2 1 1 1,0.2839506172839506,success,False,False,
pm_css,438,9,0,9,9,9,1.0,success,False,False,
pm_css,433,9,0,9,2,4 4 1,0.4074074074074074,success,False,False,
pm_css,858,9,0,9,1,6 3,0.5555555555555556,success,False,False,
pm_css,85,9,0,9,7,3 3 2 1,0.2839506172839506,success,False,False,
pm_css,697,9,0,9,7,3 3 2 1,0.2839506172839506,success,False,False,
pm_css,201,9,0,9,2,6 3,0.5555555555555556,success,False,False,
pm_css,94,9,0,9,0,9,1.0,success,False,False,
pm_css,89,9,2,7,6,4 2 2 1,0.30864197530864196,success,False,False,
pm_css,773,9,2,7,6,4 2 2 1,0.30864197530864196,success,False,False,
pm_css,654,9,2,7,2,4 3 1 1,0.3333333333333333,success,False,False,
pm_css,438,9,2,7,7,6 2 1,0.5061728395061729,success,False,False,
pm_css,433,9,2,7,2,4 4 1,0.4074074074074074,success,False,False,
pm_css,858,9,2,7,1,4 2 2 1,0.30864197530864196,success,False,False,
pm_css,85,9,2,7,5,2 2 2 2 1,0.20987654320987653,success,False,False,
pm_css,697,9,2,7,6,6 2 1,0.5061728395061729,success,False,False,
pm_css,201,9,2,7,2,2 2 2 2 1,0.20987654320987653,success,False,False,
pm_css,94,9,2,7,0,6 2 1,0.5061728395061729,success,False,False,
pm_css,89,9,4,5,5,4 3 2,0.35802469135802467,success,False,False,
pm_css,773,9,4,5,5,6 2 1,0.5061728395061729,success,False,False,
pm_css,654,9,4,5,1,4 3 2,0.35802469135802467,success,False,False,
pm_css,438,9,4,5,5,4 3 2,0.35802469135802467,success,False,False,
pm_css,433,9,4,5,1,5 3 1,0.43209876543209874,success,False,False,
pm_css,858,9,4,5,0,6 2 1,0.5061728395061729,success,False,False,
pm_css,85,9,4,5,4,4 2 1 1 1,0.2839506172839506,success,False,False,
pm_css,697,9,4,5,4,4 2 2 1,0.30864197530864196,success,False,False,
pm_css,201,9,4,5,1,3 2 2 1 1,0.2345679012345679,success,False,False,
pm_css,94,9,4,5,0,6 2 1,0.5061728395061729,success,False,False,
pm_css,89,9,6,3,3,6 2 1,0.5061728395061729,success,False,False,
pm_css,773,9,6,3,3,4 3 2,0.35802469135802467,success,False,False,
pm_css,654,9,6,3,1,5 4,0.5061728395061729,success,False,False,
pm_css,438,9,6,3,3,4 4 1,0.4074074074074074,success,False,False,
pm_css,433,9,6,3,1,4 3 2,0.35802469135802467,success,False,False,
pm_css,858,9,6,3,0,4 4 1,0.4074074074074074,success,False,False,
pm_css,85,9,6,3,2,4 2 2 1,0.30864197530864196,success,False,False,
pm_css,697,9,6,3,3,5 4,0.5061728395061729,success,False,False,
pm_css,201,9,6,3,1,4 2 2 1,0.30864197530864196,success,False,False,
pm_css,94,9,6,3,0,6 3,0.5555555555555556,success,False,False,
pm_css,89,9,8,1,1,9,1.0,success,False,False,
pm_css,773,9,8,1,1,9,1.0,success,False,False,
pm_css,654,9,8,1,0,5 4,0.5061728395061729,success,False,False,
pm_css,438,9,8,1,1,5 4,0.5061728395061729,success,False,False,
pm_css,433,9,8,1,0,9,1.0,success,False,False,
pm_css,858,9,8,1,0,9,1.0,success,False,False,
pm_css,85,9,8,1,1,9,1.0,success,False,False,
pm_css,697,9,8,1,1,6 3,0.5555555555555556,success,False,False,
pm_css,201,9,8,1,0,6 3,0.5555555555555556,success,False,False,
pm_css,94,9,8,1,0,5 4,0.5061728395061729,success,False,False,
pm_css,89,10,0,10,9,5 5,0.5,success,False,False,
pm_css,773,10,0,10,9,7 3,0.58,success,False,False,
pm_css,654,10,0,10,3,5 2 2 1,0.34,success,False,False,
pm_css,438,10,0,10,10,10,1.0,success,False,False,
pm_css,433,10,0,10,2,6 3 1,0.46,success,False,False,
pm_css,858,10,0,10,1,7 3,0.58,success,False,False,
pm_css,85,10,0,10,7,4 3 2 1,0.3,success,False,False,
pm_css,697,10,0,10,8,4 4 2,0.36,success,False,False,
pm_css,201,10,0,10,3,4 3 2 1,0.3,success,False,False,
pm_css,94,10,0,10,0,10,1.0,success,False,False,
pm_css,89,10,2,8,7,5 3 2,0.38,success,False,False,
pm_css,773,10,2,8,7,5 4 1,0.42,success,False,False,
pm_css,654,10,2,8,2,2 2 2 2 1 1,0.18,success,False,False,
pm_css,438,10,2,8,8,5 4 1,0.42,success,False,False,
pm_css,433,10,2,8,2,4 2 2 1 1,0.26,success,False,False,
pm_css,858,10,2,8,1,5 5,0.5,success,False,False,
pm_css,85,10,2,8,6,5 3 1 1,0.36,success,False,False,
pm_css,697,10,2,8,6,6 2 1 1,0.42,success,False,False,
pm_css,201,10,2,8,2,3 3 2 1 1,0.24,success,False,False,
pm_css,94,10,2,8,0,6 3 1,0.46,success,False,False,
pm_css,89,10,4,6,6,8 1 1,0.66,success,False,False,
pm_css,773,10,4,6,5,4 2 2 2,0.28,success,False,False,
pm_css,654,10,4,6,2,4 2 2 1 1,0.26,success,False,False,
pm_css,438,10,4,6,6,6 4,0.52,success,False,False,
pm_css,433,10,4,6,1,6 2 2,0.44,success,False,False,
pm_css,858,10,4,6,1,5 4 1,0.42,success,False,False,
pm_css,85,10,4,6,4,6 1 1 1 1,0.4,success,False,False,
pm_css,697,10,4,6,5,6 2 1 1,0.42,success,False,False,
pm_css,201,10,4,6,2,4 3 1 1 1,0.28,success,False,False,
pm_css,94,10,4,6,0,8 2,0.68,success,False,False,
pm_css,89,10,6,4,4,6 2 2,0.44,success,False,False,
pm_css,773,10,6,4,4,6 4,0.52,success,False,False,
pm_css,654,10,6,4,1,5 4 1,0.42,success,False,False,
pm_css,438,10,6,4,4,7 3,0.58,success,False,False,
pm_css,433,10,6,4,1,6 4,0.52,success,False,False,
pm_css,858,10,6,4,0,4 4 2,0.36,success,False,False,
pm_css,85,10,6,4,3,3 2 2 2 1,0.22,success,False,False,
pm_css,697,10,6,4,3,5 4 1,0.42,success,False,False,
pm_css,201,10,6,4,1,6 2 1 1,0.42,success,False,False,
pm_css,94,10,6,4,0,8 2,0.68,success,False,False,
pm_css,89,10,8,2,2,4 4 2,0.36,success,False,False,
pm_css,773,10,8,2,2,8 2,0.68,success,False,False,
pm_css,654,10,8,2,0,6 4,0.52,success,False,False,
pm_css,438,10,8,2,2,6 4,0.52,success,False,False,
pm_css,433,10,8,2,0,6 4,0.52,success,False,False,
pm_css,858,10,8,2,0,8 2,0.68,success,False,False,
pm_css,85,10,8,2,2,8 2,0.68,success,False,False,
pm_css,697,10,8,2,2,4 4 2,0.36,success,False,False,
pm_css,201,10,8,2,0,6 4,0.52,success,False,False,
pm_css,94,10,8,2,0,8 2,0.68,success,False,False,
pm_css,89,11,0,11,10,8 3,0.6033057851239669,success,False,False,
pm_css,773,11,0,11,10,8 3,0.6033057851239669,success,False,False,
pm_css,654,11,0,11,3,6 2 2 1,0.371900826446281,success,False,False,
pm_css,438,11,0,11,11,11,1.0,success,False,False,
pm_css,433,11,0,11,3,8 2 1,0.5702479338842975,success,False,False,
pm_css,858,11,0,11,1,8 3,0.6033057851239669,success,False,False,
pm_css,85,11,0,11,8,4 4 2 1,0.30578512396694213,success,False,False,
pm_css,697,11,0,11,9,4 3 3 1,0.2892561983471074,success,False,False,
pm_css,201,11,0,11,3,3 3 2 1 1 1,0.2066115702479339,success,False,False,
pm_css,94,11,0,11,0,11,1.0,success,False,False,
pm_css,89,11,2,9,8,4 3 2 2,0.2727272727272727,success,False,False,
pm_css,773,11,2,9,8,7 4,0.5371900826446281,success,False,False,
pm_css,654,11,2,9,3,4 3 2 1 1,0.256198347107438,success,False,False,
pm_css,438,11,2,9,9,4 4 3,0.33884297520661155,success,False,False,
pm_css,433,11,2,9,2,3 2 2 2 1 1,0.19008264462809918,success,False,False,
pm_css,858,11,2,9,1,6 3 1 1,0.3884297520661157,success,False,False,
pm_css,85,11,2,9,7,4 4 2 1,0.30578512396694213,success,False,False,
pm_css,697,11,2,9,7,4 3 2 1 1,0.256198347107438,success,False,False,
pm_css,201,11,2,9,2,3 2 2 2 1 1,0.19008264462809918,success,False,False,
pm_css,94,11,2,9,0,6 5,0.5041322314049587,success,False,False,
pm_css,89,11,4,7,6,4 4 2 1,0.30578512396694213,success,False,False,
pm_css,773,11,4,7,6,6 4 1,0.4380165289256198,success,False,False,
pm_css,654,11,4,7,2,6 2 1 1 1,0.35537190082644626,success,False,False,
pm_css,438,11,4,7,7,7 3 1,0.48760330578512395,success,False,False,
pm_css,433,11,4,7,2,3 3 2 1 1 1,0.2066115702479339,success,False,False,
pm_css,858,11,4,7,1,5 4 1 1,0.35537190082644626,success,False,False,
pm_css,85,11,4,7,5,3 2 2 2 1 1,0.19008264462809918,success,False,False,
pm_css,697,11,4,7,6,6 2 2 1,0.371900826446281,success,False,False,
pm_css,201,11,4,7,2,3 2 2 1 1 1 1,0.17355371900826447,success,False,False,
pm_css,94,11,4,7,0,6 4 1,0.4380165289256198,success,False,False,
pm_css,89,11,6,5,5,7 2 1 1,0.45454545454545453,success,False,False,
pm_css,773,11,6,5,5,6 3 2,0.4049586776859504,success,False,False,
pm_css,654,11,6,5,1,4 4 2 1,0.30578512396694213,success,False,False,
pm_css,438,11,6,5,5,7 2 2,0.47107438016528924,success,False,False,
pm_css,433,11,6,5,1,6 2 1 1 1,0.35537190082644626,success,False,False,
pm_css,858,11,6,5,0,6 4 1,0.4380165289256198,success,False,False,
pm_css,85,11,6,5,4,4 3 2 1 1,0.256198347107438,success,False,False,
pm_css,697,11,6,5,4,5 3 2 1,0.32231404958677684,success,False,False,
pm_css,201,11,6,5,1,7 3 1,0.48760330578512395,success,False,False,
pm_css,94,11,6,5,0,6 3 1 1,0.3884297520661157,success,False,False,
pm_css,89,11,8,3,3,6 3 2,0.4049586776859504,success,False,False,
pm_css,773,11,8,3,3,7 4,0.5371900826446281,success,False,False,
